# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2014-04-02 12:28:10
# //FILE TYPE="NWIS-I DAILY-VALUES" EDITABLE=NO
# //DATABASE NUMBER=1 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="414158088095600" TIME_ZONE="CST" DST_FLAG=N
# //STATION NAME="SPRING BROOK WWTF NR NAPERVILE, IL"
# //LOCATION NUMBER=0 NAME="Default"
# //DD DDID="   2" RNDARY="2223455552" DVABORT=1440
# //DD LABEL="Precipitation (in)"
# //PARAMETER CODE="00045" SNAME = "Precipitation"
# //PARAMETER LNAME="Precipitation, total, inches"
# //STATISTIC CODE="00006" SNAME="SUM"
# //STATISTIC LNAME="SUMMATION VALUES"
# //TYPE NAME="FINAL" DESC = "EDITED AND COMPUTED DAILY VALUES"
# //AGING BEGIN=19970718 END=20050930 CODE=A
# //AGING   REVIEWED=20101013140646 RZONE=CST RUSER="jklatour"
# //AGING   APPROVED=20101013140704 AZONE=CST AUSER="jklatour"
# //AGING BEGIN=20051001 END=20060930 CODE=A
# //AGING   REVIEWED=20070309102020 RZONE=CST RUSER="jklatour"
# //AGING   APPROVED=20070309102041 AZONE=CST AUSER="jklatour"
# //RANGE START="20020201" END="20120930"
DATE	TIME	VALUE	PRECISION	REMARK	FLAGS	TYPE	QA
8D	6S	16N	1S	1S	32S	1S	1S
20030125		0.02	2	 		C	A
20030126		0.01	2	 		C	A
20030127		0.00	2	 		C	A
20030128		0.09	2	 		C	A
20030129		0.00	2	 		C	A
20030130		0.00	2	 		C	A
20030131		0.11	2	 		C	A
20030201		0.00	2	 		C	A
20030202		0.00	2	 		C	A
20030203		0.03	2	 		C	A
20030204		0.00	2	 		C	A
20030205		0.00	2	 		C	A
20030206		0.00	2	 		C	A
20030207		0.00	2	 		C	A
20030208		0.00	2	 		C	A
20030209		0.00	2	 		C	A
20030210		0.00	2	 		C	A
20030211		0.00	2	 		C	A
20030212		0.00	2	 		C	A
20030213		0.00	2	 		C	A
20030214		0.12	2	 		C	A
20030215		0.00	2	 		C	A
20030216		0.00	2	 		C	A
20030217		0.00	2	 		C	A
20030218		0.00	2	 		C	A
20030219		0.00	2	 		C	A
20030220		0.00	2	 		C	A
20030221		0.00	2	 		C	A
20030222		0.00	2	 		C	A
20030223		0.00	2	 		C	A
20030224		0.01	2	 		C	A
20030225		0.00	2	 		C	A
20030226		0.00	2	 		C	A
20030227		0.00	2	 		C	A
20030228		0.00	2	 		C	A
20030301		0.00	2	 		C	A
20030302		0.00	2	 		C	A
20030303		0.00	2	 		C	A
20030304		0.00	2	 		C	A
20030305		0.00	2	 		C	A
20030306		0.00	2	 		C	A
20030307		0.00	2	 		C	A
20030308		0.00	2	 		C	A
20030309		0.00	2	 		C	A
20030310		0.00	2	 		C	A
20030311		0.00	2	 		C	A
20030312		0.00	2	 		C	A
20030313		0.01	2	 		C	A
20030314		0.00	2	 		C	A
20030315		0.00	2	 		C	A
20030316		0.00	2	 		C	A
20030317		0.00	2	 		C	A
20030318		0.00	2	 		C	A
20030319		0.47	2	 		C	A
20030320		0.05	2	 		C	A
20030321		0.00	2	 		C	A
20030322		0.00	2	 		C	A
20030323		0.00	2	 		C	A
20030324		0.03	2	 		C	A
20030325		0.05	2	 		C	A
20030326		0.00	2	 		C	A
20030327		0.00	2	 		C	A
20030328		0.36	2	 		C	A
20030329		0.00	2	 		C	A
20030330		0.00	2	 		C	A
20030331		0.03	2	 		C	A
20030401		0.00	2	 		C	A
20030402		0.00	2	 		C	A
20030403		0.29	2	 		C	A
20030404		1.18	3	 		C	A
20030405		0.00	2	 		C	A
20030406		0.00	2	 		C	A
20030407		0.23	2	 		C	A
20030408		0.00	2	 		C	A
20030409		0.00	2	 		C	A
20030410		0.00	2	 		C	A
20030411		0.00	2	 		C	A
20030412		0.00	2	 		C	A
20030413		0.00	2	 		C	A
20030414		0.00	2	 		C	A
20030415		0.00	2	 		C	A
20030416		0.00	2	 		C	A
20030417		0.01	2	 		C	A
20030418		0.00	2	 		C	A
20030419		0.04	2	 		C	A
20030420		0.06	2	 		C	A
20030421		0.00	2	 		C	A
20030422		0.00	2	 		C	A
20030423		0.00	2	 		C	A
20030424		0.00	2	 		C	A
20030425		0.00	2	 		C	A
20030426		0.00	2	 		C	A
20030427		0.00	2	 		C	A
20030428		0.00	2	 		C	A
20030429		0.00	2	 		C	A
20030430		0.98	2	 		C	A
20030501		0.93	2	 		C	A
20030502		0.00	2	 		C	A
20030503		0.00	2	 		C	A
20030504		0.99	2	 		C	A
20030505		0.04	2	 		C	A
20030506		0.00	2	 		C	A
20030507		0.02	2	 		C	A
20030508		0.03	2	 		C	A
20030509		1.61	3	 		C	A
20030510		0.22	2	 		C	A
20030511		0.03	2	 		C	A
20030512		0.00	2	 		C	A
20030513		0.00	2	 		C	A
20030514		0.23	2	 		C	A
20030515		0.00	2	 		C	A
20030516		0.00	2	 		C	A
20030517		0.00	2	 		C	A
20030518		0.00	2	 		C	A
20030519		0.00	2	 		C	A
20030520		0.19	2	 		C	A
20030521		0.00	2	 		C	A
20030522		0.00	2	 		C	A
20030523		0.00	2	 		C	A
20030524		0.00	2	 		C	A
20030525		0.00	2	 		C	A
20030526		0.00	2	 		C	A
20030527		0.00	2	 		C	A
20030528		0.26	2	 		C	A
20030529		0.00	2	 		C	A
20030530		0.68	2	 		C	A
20030531		0.00	2	 		C	A
20030601		0.00	2	 		C	A
20030602		0.17	2	 		C	A
20030603		0.15	2	 		C	A
20030604		0.00	2	 		C	A
20030605		0.00	2	 		C	A
20030606		0.06	2	 		C	A
20030607		0.00	2	 		C	A
20030608		0.31	2	 		C	A
20030609		0.00	2	 		C	A
20030610		0.05	2	 		C	A
20030611		0.00	2	 		C	A
20030612		0.00	2	 		C	A
20030613		0.00	2	 		C	A
20030614		0.00	2	 		C	A
20030615		0.00	2	 		C	A
20030616		0.00	2	 		C	A
20030617		0.00	2	 		C	A
20030618		0.26	2	 		C	A
20030619		0.01	2	 		C	A
20030620		0.00	2	 		C	A
20030621		0.00	2	 		C	A
20030622		0.00	2	 		C	A
20030623		0.00	2	 		C	A
20030624		0.00	2	 		C	A
20030625		0.00	2	 		C	A
20030626		0.00	2	 		C	A
20030627		0.00	2	 		C	A
20030628		0.00	2	 		C	A
20030629		0.00	2	 		C	A
20030630		0.00	2	 		C	A
20030701		0.00	2	 		C	A
20030702		0.00	2	 		C	A
20030703		0.01	2	 		C	A
20030704		0.00	2	 		C	A
20030705		0.92	2	 		C	A
